Repeat,Berlin-Stockholm,Berlin-Paris,Berlin-Madrid,Berlin-London,Berlin-Warsawa,Berlin-Budapest,Berlin-Amsterdam,Berlin-Oslo,Berlin-Leeds,Berlin-Rom,Berlin-Dresden,Berlin-ZÃ¼rich
0,10546,2375,7194,2864,2374,6146,4330,8451,8032,7124,2864,5727
1,9498,1956,5308,5168,1955,4889,3352,7682,7194,7054,2375,4261
2,5797,3422,6216,2305,1956,3282,3422,5378,7612,5308,2445,3772
3,4889,3353,6566,2863,2235,4260,3283,6635,8101,6565,2864,3911
4,7054,3283,6146,2863,2374,5657,2793,5657,7124,6216,2375,2863
5,5238,3283,6216,2863,1886,3842,2305,6216,6705,6635,2374,4190
6,6216,2863,5727,3352,2375,4889,2445,6285,7542,6775,2933,2863
7,10057,2864,6006,2863,908,4679,2934,5657,7543,6565,2374,2864
8,4679,2864,6146,3282,1885,4260,2445,5657,7753,7194,2444,3841
9,3911,2864,6286,2793,2374,4749,2864,5168,8451,6216,2444,3911
10,4819,2863,6216,2863,1886,3911,2864,5796,8101,6215,2374,3841
11,4819,3212,6565,3422,2305,4749,3283,5657,7333,6565,2305,4260
12,4679,3352,5727,2933,1885,4609,2374,6565,8450,6705,2793,2933
13,4749,2933,6286,2863,3841,4749,2375,5726,7194,8242,2933,3841
14,4749,2863,6146,3422,1955,3841,2864,6216,7334,7473,2374,3911
15,6216,2374,6146,3771,1955,4330,2445,7194,7124,7682,2444,3283
16,4749,2375,5238,3353,1886,3352,2375,5657,7473,6774,2374,4191
17,4679,2934,10477,2375,1955,3771,2864,5308,8102,6705,2374,3353
18,5238,2864,6146,2864,1885,4190,2305,6286,7124,6076,2375,3842
19,4749,3353,8101,3283,1886,4749,2863,5238,6984,6635,2374,3911
20,4330,2934,5797,3353,1886,3841,2374,6076,6634,6216,3771,3282
21,4331,2864,6146,2794,1955,4261,2933,5308,6775,6565,2374,6076
22,4609,2794,6216,5238,1955,3841,2864,5308,7264,6565,2863,5657
23,4260,2863,6216,3423,1885,3283,2864,4749,7543,6635,2444,6146
24,4889,3282,6216,3353,1397,3772,2375,6147,5378,6216,2933,5727
25,4820,2863,5657,2794,1466,3841,2375,5797,3841,5727,2375,6496
26,4749,142685,5238,2864,1397,3841,2374,6635,3771,5168,2375,5727
27,4679,3702,6285,3283,3772,3841,2933,5168,4190,6704,2375,6286
28,4819,2863,5727,3352,2375,3841,2933,4749,3841,6286,2375,4819
29,4400,2863,6077,2934,1956,2863,2793,5797,4330,7124,1466,5727
30,6146,2933,5797,2864,1955,3841,2375,5238,4330,6635,2863,5658
31,4749,3282,6774,2863,2374,4330,2375,9080,7682,6286,2444,5308
32,4749,2863,6216,2444,1886,3772,2375,4680,19136,7054,2864,7193
33,4400,2793,6077,2374,1956,3423,2444,6286,4679,5238,2794,5238
34,4749,2375,6286,3352,2374,2864,2933,5169,4819,6146,3842,5658
35,4749,2375,5866,2933,1886,4331,5238,4680,4261,5797,2864,5797
36,8101,2445,6146,3352,1956,4889,2375,6216,3911,6076,2375,6635
37,4889,2445,6007,3213,1956,4260,2794,5377,4679,6216,1397,6216
38,4750,3282,6146,2794,1886,7124,2793,6146,5238,6704,1397,6705
39,5169,2863,5867,2864,2374,4260,2863,5657,4750,6216,1886,7193
40,4819,3282,5727,3353,1886,3911,2444,5169,4819,6565,2375,5168
41,4749,1886,6076,2934,2444,3772,2374,5727,4330,5727,3423,5727
42,7752,2864,5658,3283,1885,3283,3282,5657,4191,7753,2375,5797
43,4609,2863,4819,3283,908,4331,2864,6076,3771,7123,2375,5238
44,4749,2864,5308,2864,1956,4261,2794,4749,3772,7124,2933,7054
45,4749,3353,5727,3282,908,4400,2375,5727,4400,6215,908,4679
46,3912,2934,6635,3282,2374,3841,2864,5727,4749,6216,1397,6285
47,4260,3842,6286,2863,1886,4190,2934,6146,4679,6565,1886,4330
48,4679,3423,6146,2444,2375,4260,2863,5168,4679,7054,8661,5168
49,6146,2864,6216,2864,2444,3771,2793,5308,4261,6634,3282,5308
50,4749,2375,6216,4680,2374,3842,2863,31499,4749,7124,2933,3841
51,4331,1885,5797,2864,1956,3841,2305,5727,4749,6984,1955,5308
52,4679,3352,9987,3352,1886,3771,2864,7123,5587,6635,2375,4261
53,5098,3352,5727,3353,1886,3772,2933,6146,5168,6775,2445,5657
54,4749,3422,6356,3352,1886,4330,2864,6774,4330,6216,2445,5168
55,5727,3352,6146,5727,1886,3911,2305,6146,4261,6565,2375,4330
56,5238,2863,6705,3352,2375,4261,3771,5727,7124,6146,1885,4330
57,4749,2794,6216,3353,1885,4191,2933,7194,4750,7752,1886,4191
58,4749,2864,6286,2934,1886,3772,2374,9498,4749,6146,1467,5657
59,4749,3352,6565,3422,2445,4261,2444,9080,4330,7054,1885,5238
60,4330,2863,5797,3352,1886,4330,2863,10616,4749,7263,1467,5797
61,4260,4819,6286,1956,2374,4260,3282,11314,4750,6635,1956,5308
62,5238,2864,5727,4750,1886,3841,2794,9569,3772,6215,2445,5727
63,4749,3282,5587,3353,1397,3771,2794,10127,3912,6705,1397,5727
64,5796,3282,5308,3352,1886,4260,1885,9428,4400,6774,1397,4330
65,4749,2375,6286,2863,1886,4400,3352,9149,4260,6076,2375,4260
66,3841,1886,6146,3353,2374,4330,2863,9428,5168,5727,1956,4330
67,4679,2864,6076,2794,2444,4260,2863,9428,4330,5727,908,5727
68,4819,3423,6146,3283,1886,4260,2375,10057,4260,5308,1955,3841
69,4400,3423,6216,2934,2864,4260,2304,9079,4260,6076,1886,5238
70,4679,2794,6215,2934,1956,4330,3352,8031,4749,6215,1956,4331
71,5308,2863,6565,3353,1886,4750,3283,8660,4750,6705,2305,5657
72,4750,2863,5657,2794,1885,4261,2444,8590,4819,6705,1886,4819
73,4400,2863,8171,5238,2375,4749,2864,8032,4679,6076,1886,6216
74,4749,2863,6286,3353,1956,4749,2863,8660,4819,6705,1886,6216
75,4191,5727,6146,3422,1956,4819,2375,9498,4750,5378,1955,2794
76,3841,3283,5727,2375,2374,4680,2864,8102,4400,6146,3352,4330
77,5727,3352,6286,3283,1816,3841,3283,8172,4749,6076,2375,3911
78,4819,2863,5657,3772,908,3772,2375,9079,4680,7123,2305,3283
79,4750,2863,6076,3283,1886,7263,2445,8591,4330,6705,2305,3283
80,4750,2374,6216,2864,978,4330,1885,8660,5727,6565,1886,3842
81,4819,2374,6216,2934,977,4679,1886,9010,4819,5657,2305,4260
82,6775,4679,5657,3283,1467,4260,2305,9569,5168,6216,1885,6286
83,4749,2863,5169,3353,1956,4819,2375,9009,4679,6216,4400,6076
84,5098,2933,6286,3352,1886,3912,2933,8591,4819,5238,1396,9568
85,4330,3352,6215,2933,1885,4260,2444,8730,4400,7124,1397,5308
86,4819,3282,8032,2863,2305,296126,2375,8102,4749,6286,1956,6146
87,4819,3283,6146,2933,1397,393205,1397,9080,5098,5797,908,5657
88,5238,2864,6285,3352,1955,9079,2864,8661,5727,6634,908,6775
89,4679,3283,6146,3282,1956,8520,2794,11244,4679,6216,1886,9149
90,3771,2934,6146,2374,238507,7194,2305,10406,4819,6285,1955,6565
91,4749,3352,5727,1886,1397,5797,3352,7682,5308,6565,1467,6635
92,4330,2794,5866,3353,1397,5168,2444,5098,4609,6635,1467,6704
93,3842,2794,5657,3422,1467,4749,2374,6146,4749,6705,1886,6775
94,5168,2864,6635,2863,978,16831,1816,6216,5797,5308,908,6076
95,4190,2863,5727,2794,1467,6076,2375,6216,5308,6565,2375,7124
96,3422,3352,6216,2794,1466,7123,3283,6634,4749,6146,1397,5727
97,4819,2444,5657,2863,2864,4889,2864,6146,4680,6774,2374,5657
98,5169,3282,6146,3282,1956,4750,3841,5797,4819,6146,3841,6565
99,4679,2305,6146,3352,978,4680,2864,8591,4819,6704,1885,6216
