#,Selection 75000,Insertion 75000,Merge 75000,Merge2 75000,Selection 100000,Insertion 100000,Merge 100000,Merge2 100000,Selection 250000,Insertion 250000,Merge 250000,Merge2 250000
0,736.699792,736.699792,5.495974,5.054575,1321.802208,1321.802208,7.697660,8.400197,8267.453096,8267.453096,21.105777,18.209936
1,732.914868,732.914868,5.676863,5.094525,1339.286979,1339.286979,7.772390,7.265551,8243.497921,8243.497921,24.305361,18.293257
2,735.142744,735.142744,5.592775,5.164995,1309.200970,1309.200970,7.707856,7.011606,8199.390166,8199.390166,21.719685,18.563684
3,731.338194,731.338194,5.926827,5.036626,1323.949139,1323.949139,7.744873,7.265341,8251.929824,8251.929824,20.209641,18.483226
4,732.761845,732.761845,5.674280,5.495695,1325.369576,1325.369576,7.677825,7.017892,8315.094623,8315.094623,20.193926,18.205885
5,729.889680,729.889680,5.572800,5.688597,1316.448850,1316.448850,8.119015,7.092692,8130.316138,8130.316138,20.466099,18.300730
6,730.862643,730.862643,5.552755,5.209065,1321.257653,1321.257653,7.714283,7.025575,8121.419856,8121.419856,20.193437,18.203161
7,730.108213,730.108213,5.590400,5.234208,1326.370267,1326.370267,7.733838,7.739495,8152.930423,8152.930423,20.535730,18.244857
8,737.513517,737.513517,5.543886,5.506171,1351.499967,1351.499967,7.609031,7.075791,8196.553896,8196.553896,21.195315,18.759589
9,730.826883,730.826883,5.567003,5.012531,1311.966138,1311.966138,7.699127,6.979199,8307.329423,8307.329423,20.202237,18.262387
10,734.868686,734.868686,5.793150,5.182036,1307.231787,1307.231787,7.715819,6.917669,8263.775372,8263.775372,23.808577,18.409264
11,732.608053,732.608053,5.481936,6.349089,1317.160466,1317.160466,7.807032,7.040940,8249.570221,8249.570221,23.481160,18.692053
12,733.362901,733.362901,5.598432,5.073363,1321.846837,1321.846837,7.577254,6.940717,8267.520416,8267.520416,20.426568,18.448096
13,739.958251,739.958251,5.665828,5.038442,1323.978193,1323.978193,8.082278,7.378135,8250.674276,8250.674276,21.118698,18.312603
14,738.404974,738.404974,5.603041,5.123509,1339.963604,1339.963604,7.525431,7.049530,8268.605474,8268.605474,21.102006,18.301289
15,739.780994,739.780994,5.636774,5.040397,1326.139719,1326.139719,7.826937,7.107639,8299.810972,8299.810972,20.977897,18.360584
16,743.700852,743.700852,5.665340,5.036207,1337.243274,1337.243274,7.601279,7.061752,8232.988290,8232.988290,20.783039,18.199460
17,736.428038,736.428038,5.523841,5.420685,1305.681513,1305.681513,8.006640,7.099188,8194.285086,8194.285086,20.426010,18.199320
18,738.274720,738.274720,5.549472,5.082861,1295.117833,1295.117833,7.835248,7.021314,8214.906373,8214.906373,20.730658,18.207562
19,736.273270,736.273270,5.660521,5.006594,1300.815859,1300.815859,9.320220,7.247392,8335.995546,8335.995546,20.352257,18.332928
20,747.220589,747.220589,5.668273,5.056810,1317.777936,1317.777936,8.065027,6.923397,8239.490818,8239.490818,20.298828,18.536934
21,735.226065,735.226065,5.625949,5.091033,1301.349309,1301.349309,7.930233,6.953848,8252.885387,8252.885387,20.495572,18.729139
22,740.783221,740.783221,5.545213,5.076925,1318.359506,1318.359506,9.068232,6.904678,8139.852857,8139.852857,20.256644,18.638764
23,736.376426,736.376426,5.517485,5.408323,1350.396470,1350.396470,8.073548,6.847688,8194.028974,8194.028974,20.141894,18.332788
24,740.583753,740.583753,5.617848,5.134125,1305.327626,1305.327626,7.658688,6.891200,8177.138904,8177.138904,20.305183,18.246952
25,742.237462,742.237462,5.604508,5.095782,1305.116355,1305.116355,7.728810,7.248788,8307.558843,8307.558843,20.540689,18.212031
26,737.995773,737.995773,5.532362,5.020982,1317.609687,1317.609687,7.703597,7.410751,8288.405347,8288.405347,20.203005,18.296679
27,731.766602,731.766602,6.136561,5.145928,1308.662910,1308.662910,7.652402,6.988070,8275.861728,8275.861728,20.460092,18.779144
28,729.247207,729.247207,5.731130,5.110728,1305.769024,1305.769024,7.653381,7.092763,8303.721606,8303.721606,20.558429,18.326991
29,739.381151,739.381151,5.715346,5.579015,1304.225246,1304.225246,8.230272,7.087593,8846.160869,8846.160869,20.505978,18.361562
30,744.961144,744.961144,5.676724,5.861106,1338.994552,1338.994552,9.875601,6.964812,8378.967252,8378.967252,20.902050,18.889774
31,732.460757,732.460757,5.616940,5.073711,1318.827375,1318.827375,9.388525,7.193474,8322.370425,8322.370425,21.264388,19.347027
32,730.559321,730.559321,5.704172,5.121553,1308.532865,1308.532865,9.119146,7.049530,8337.382245,8337.382245,20.704258,19.345001
33,743.358838,743.358838,5.832889,5.738324,1307.147487,1307.147487,9.176276,6.975498,8287.105453,8287.105453,20.396885,19.002079
34,741.163229,741.163229,5.605346,5.053667,1312.634243,1312.634243,8.379523,6.937085,8262.180737,8262.180737,20.498505,18.467581
35,730.431929,730.431929,5.485497,5.290919,1308.342268,1308.342268,7.805845,6.953429,8206.722817,8206.722817,20.486492,18.384121
36,746.950162,746.950162,5.680076,5.089217,1294.870105,1294.870105,7.683483,6.939250,8242.549175,8242.549175,20.447590,18.644281
37,750.041560,750.041560,5.625320,5.583904,1296.996921,1296.996921,7.572015,6.982342,8276.498330,8276.498330,20.389343,18.248977
38,740.838744,740.838744,5.626927,5.044797,1309.941640,1309.941640,7.598764,6.971377,8460.706207,8460.706207,20.485585,18.579119
39,733.251224,733.251224,6.084110,5.125394,1293.968520,1293.968520,7.709184,6.931428,8188.432561,8188.432561,21.231003,18.431753
40,737.300779,737.300779,5.567911,5.315782,1305.214691,1305.214691,7.701013,6.905656,8296.875799,8296.875799,20.609692,19.729269
41,731.665751,731.665751,5.805931,6.014966,1325.919648,1325.919648,8.024309,7.116299,8271.540484,8271.540484,20.265444,18.991463
42,732.502033,732.502033,5.825556,5.008689,1320.214429,1320.214429,7.578510,6.996520,8285.371073,8285.371073,20.421400,18.545176
43,732.445741,732.445741,5.657657,5.091172,1332.713558,1332.713558,7.574600,7.040450,8212.072819,8212.072819,20.439070,18.369314
44,735.493838,735.493838,5.911881,5.086353,1302.240557,1302.240557,7.671400,6.878698,8309.439530,8309.439530,20.581966,18.182279
45,733.676490,733.676490,6.029355,5.049407,1320.860463,1320.860463,7.622720,6.958317,8327.505173,8327.505173,20.557312,18.616693
46,735.618575,735.618575,5.645505,5.254742,1317.232332,1317.232332,7.625583,7.092064,8285.117547,8285.117547,20.365527,18.252120
47,733.352984,733.352984,5.855728,5.377732,1329.188653,1329.188653,9.076613,7.061054,8259.596942,8259.596942,20.366086,18.307854
48,749.632079,749.632079,5.612120,5.010365,1320.419972,1320.419972,7.609451,7.101562,8259.114616,8259.114616,20.619540,18.217339
49,759.156306,759.156306,5.579993,5.461123,1341.817129,1341.817129,7.693400,7.091295,8283.234966,8283.234966,20.651458,18.279568
50,751.579472,751.579472,5.788820,5.004499,1325.567227,1325.567227,7.705133,7.021593,8294.361917,8294.361917,22.283586,18.398857
51,731.351184,731.351184,5.855379,5.067007,1329.882878,1329.882878,7.569431,6.981085,8254.494106,8254.494106,20.754126,18.700573
52,732.624885,732.624885,5.655772,5.775201,1329.707017,1329.707017,8.897678,7.035492,8268.034572,8268.034572,20.545718,18.476242
53,738.287431,738.287431,5.676515,5.416564,1323.353039,1323.353039,7.753464,6.965930,8266.354184,8266.354184,20.439419,18.485251
54,742.399913,742.399913,5.670299,5.071128,1338.903687,1338.903687,7.784263,6.951822,8313.568910,8313.568910,20.554867,18.410661
55,733.048684,733.048684,5.543536,5.187973,1321.740117,1321.740117,7.590384,6.980317,8299.045282,8299.045282,20.779617,18.274330
56,733.889925,733.889925,5.762490,5.044379,1318.668345,1318.668345,7.652333,7.074324,8261.885508,8261.885508,20.980552,18.534211
57,743.189332,743.189332,5.985843,5.084397,1304.458866,1304.458866,7.618879,6.880164,8260.346200,8260.346200,20.545439,18.516261
58,738.111500,738.111500,5.862223,5.073642,1314.644841,1314.644841,7.678035,6.884215,8212.441577,8212.441577,20.398632,18.226907
59,729.768644,729.768644,5.793569,5.158918,1346.588636,1346.588636,8.691366,6.829389,8199.177055,8199.177055,20.257272,18.273142
60,756.688733,756.688733,5.534526,5.104791,1321.159873,1321.159873,8.718534,6.847688,8150.393475,8150.393475,21.234915,18.576185
61,753.988378,753.988378,5.770102,5.206830,1332.344654,1332.344654,7.724619,7.993370,8226.249048,8226.249048,21.112133,18.549785
62,742.368973,742.368973,5.886877,5.117712,1334.473705,1334.473705,8.896700,8.279161,8184.512416,8184.512416,20.748398,18.490350
63,735.393615,735.393615,5.678889,4.967133,1353.183567,1353.183567,7.978703,8.385111,8234.007959,8234.007959,20.315380,18.558236
64,733.995945,733.995945,5.759696,4.967553,1333.343389,1333.343389,8.567537,7.452166,8179.197540,8179.197540,20.249310,18.311207
65,736.670319,736.670319,5.751733,5.337712,1347.707218,1347.707218,9.240810,6.887847,8199.236209,8199.236209,20.134421,18.442578
66,732.854454,732.854454,5.633911,5.067147,1315.408069,1315.408069,9.294099,6.866056,8202.555639,8202.555639,20.209081,18.644211
67,739.498415,739.498415,5.877379,7.285176,1318.740002,1318.740002,8.164062,7.087175,8218.785775,8218.785775,20.352886,18.236895
68,734.860724,734.860724,5.562324,5.155776,1317.017080,1317.017080,7.641298,6.889313,8210.364836,8210.364836,20.274104,18.229981
69,730.010295,730.010295,5.814801,5.078531,1312.764845,1312.764845,7.613921,6.802221,8230.452044,8230.452044,20.231501,18.465905
70,732.522428,732.522428,5.547937,5.021401,1324.080509,1324.080509,7.688650,6.837700,8235.959960,8235.959960,20.250987,18.681786
71,725.399424,725.399424,5.616939,6.591299,1306.429654,1306.429654,8.059440,6.916063,8187.744193,8187.744193,20.352746,18.363728
72,723.447770,723.447770,5.517555,5.045775,1303.242085,1303.242085,7.867375,6.899022,8182.268124,8182.268124,20.517572,18.151130
73,723.396367,723.396367,6.376048,5.026010,1304.889019,1304.889019,7.622930,7.427373,8186.506181,8186.506181,20.326416,18.191847
74,728.245678,728.245678,6.723579,5.574196,1306.195266,1306.195266,7.768479,6.809694,8181.360881,8181.360881,20.056128,18.306457
75,731.805364,731.805364,6.247190,5.104791,1335.632586,1335.632586,7.596529,7.608962,8200.910588,8200.910588,20.066674,18.734306
76,729.955469,729.955469,5.847976,5.024264,1335.806073,1335.806073,7.621533,6.827434,8197.201790,8197.201790,20.098103,18.485112
77,728.257481,728.257481,5.640266,5.273878,1411.721361,1411.721361,8.682287,7.218337,8240.457687,8240.457687,20.136446,18.570947
78,730.420754,730.420754,5.963983,5.098646,1314.090508,1314.090508,7.695984,6.886729,8236.486634,8236.486634,20.479229,18.841513
79,729.431728,729.431728,5.856496,5.049617,1313.562297,1313.562297,8.229993,7.162254,8221.728408,8221.728408,20.332352,18.780053
80,731.489820,731.489820,5.602133,5.153960,1299.592093,1299.592093,8.178240,6.807319,8190.838453,8190.838453,20.281646,18.542662
81,731.315984,731.315984,5.832471,5.079369,1302.988979,1302.988979,8.557270,7.327849,8183.786338,8183.786338,20.402124,18.569899
82,730.398824,730.398824,5.562254,5.100042,1316.141476,1316.141476,8.234672,7.081937,8176.378172,8176.378172,20.323342,18.456058
83,729.333739,729.333739,5.595359,5.438844,1315.624718,1315.624718,7.902784,6.825968,8188.261367,8188.261367,20.176186,18.529741
84,729.054932,729.054932,5.637473,5.246150,1316.784577,1316.784577,7.784613,6.865847,8198.879873,8198.879873,20.342968,18.492585
85,738.369704,738.369704,5.667435,5.122740,1322.520457,1322.520457,7.904880,6.981365,8169.702712,8169.702712,20.358822,18.891310
86,732.584447,732.584447,5.555130,5.235884,1315.643156,1315.643156,7.771343,6.810742,8155.247250,8155.247250,20.120452,18.295841
87,748.589972,748.589972,6.957409,5.197332,1311.404261,1311.404261,7.833432,6.927936,8164.410047,8164.410047,20.137424,18.678084
88,729.510089,729.510089,5.700540,5.094245,1319.933594,1319.933594,7.559863,6.918158,8191.284670,8191.284670,19.981258,18.373086
89,768.451383,768.451383,5.622038,5.361249,1321.085213,1321.085213,7.847121,6.890082,8172.317441,8172.317441,20.182821,18.445093
90,733.994967,733.994967,5.689296,5.090054,1311.139142,1311.139142,7.802702,6.898323,8165.004887,8165.004887,20.258040,18.429239
91,773.932340,773.932340,5.678610,5.093267,1313.583109,1313.583109,7.878340,8.302838,8174.843541,8174.843541,21.461900,18.591690
92,752.031766,752.031766,5.872350,5.092569,1324.705731,1324.705731,7.649190,8.346139,8166.399903,8166.399903,20.618074,18.433499
93,739.319760,739.319760,5.824160,5.049127,1315.702801,1315.702801,7.853337,8.350888,8194.432499,8194.432499,20.323343,18.719221
94,746.641532,746.641532,5.748591,5.085655,1311.362985,1311.362985,7.689209,8.341599,8232.600994,8232.600994,20.201399,18.379232
95,744.219147,744.219147,5.923823,5.379618,1324.545723,1324.545723,9.136885,8.123275,8316.815208,8316.815208,20.071354,18.398648
96,739.853000,739.853000,5.909086,5.207388,1338.568866,1338.568866,9.259807,6.899441,8289.321021,8289.321021,20.142941,18.477011
97,737.559472,737.559472,5.596546,5.043470,1331.323360,1331.323360,9.461719,7.258356,8275.672508,8275.672508,20.338498,18.433219
98,735.782283,735.782283,5.959233,5.132728,1338.982048,1338.982048,9.222930,6.823872,8217.753372,8217.753372,20.287653,18.469258
99,734.997543,734.997543,6.107786,5.227991,1312.828261,1312.828261,9.443910,6.780640,8247.058551,8247.058551,20.012337,18.504527
