repeat,lookup-100,add-100,lookup-1000,add-1000,lookup-10000,add-10000,lookup-100000,add-100000,lookup-1000000,add-1000000,lookup-10000000,add-10000000
334,21829,22713,23197,24128,26907,24705,23322,23659,25840,27971,27482,27950
335,23135,22300,23119,23245,24651,26153,23124,25449,25156,26920,28649,27715
336,22743,22186,22682,24579,24120,26566,23205,24230,25544,25368,27296,28679
337,22371,21748,22879,24182,25232,25581,23613,25171,24536,25276,27094,27936
338,23196,21947,23713,23981,25079,25059,23661,23728,24323,25780,26389,28167
339,21965,23500,22317,25298,24908,25016,23775,23246,26556,26377,26802,27906
340,22030,22297,22708,24579,26417,26458,23994,23765,25945,25405,27915,27327
341,21531,22426,22774,24168,24595,26664,23927,25771,26396,25320,25980,28221
342,23608,23696,23617,24758,25300,26268,23333,24666,24829,26374,26281,27691
343,22050,23987,24251,25024,25169,25087,23231,23990,26619,26520,28457,26482
344,23185,23396,23071,24213,26488,26100,23279,24594,25348,25689,27357,27946
345,22128,23395,22425,24039,24498,26714,25338,24055,25605,24875,37951,32908
346,22049,23025,22255,24279,25251,25943,24319,23752,24932,25328,28977,40909
347,22754,22004,22821,24225,25379,25818,23550,24222,25208,26393,26952,27708
348,21914,21790,22871,24272,24949,25720,23019,24525,25310,26131,26294,27041
349,22914,22172,24247,25474,24882,25688,23561,25131,26383,27732,27693,29324
350,22581,23345,23556,23887,26357,27106,23799,24308,24765,26092,27594,27977
351,22463,22674,23254,23897,25754,25319,25206,23908,24766,26125,26284,27107
352,21466,22637,22859,23917,24421,25290,24440,24167,25417,25727,26691,28156
353,21016,23061,23792,24904,24362,25913,24091,24055,27102,26487,28321,27675
354,21476,22627,23563,25671,25426,27291,23615,24370,25174,27262,26512,27698
355,21510,23079,24264,26197,25045,25768,23212,24564,27118,27663,26823,27635
356,21323,24227,24284,23912,24941,25226,24675,26150,25943,27937,27534,27329
357,21266,23158,23915,23718,24238,25412,24159,24126,25371,25697,27012,27324
358,22538,23166,23700,24552,24096,25860,24345,24013,26828,25494,27754,28990
359,22621,22196,24541,24998,25113,26052,24513,23904,25459,26491,27158,27191
360,22380,22369,23604,25936,25594,27204,23528,24467,25811,25621,26876,27366
361,22631,23514,23749,24529,25077,24960,23787,25654,25916,25635,26142,27393
362,22540,22140,23880,25759,24530,26532,24150,26142,26372,26388,28871,27413
363,21898,21782,24143,24282,24716,26216,24541,24242,25727,28167,27293,27578
364,22144,22559,23791,26565,25534,27443,24966,24157,26574,25494,26184,27304
365,22456,22943,23624,25164,25104,24731,24243,24183,25321,25753,27372,28269
366,22086,23559,23981,24698,25119,25393,23995,26362,25409,26143,27350,26536
367,22416,25319,23570,25002,24145,25265,23551,25125,26145,27013,27063,29071
368,21424,23951,24062,23671,24229,26231,24221,24656,26906,27536,26958,28409
369,22836,23732,24009,24299,24974,25376,25208,23988,25660,26299,27242,27571
370,22448,23214,23681,27251,25131,27418,24678,24041,25556,26133,26126,27882
371,22790,22905,22826,25219,24891,25747,24673,25134,25681,26296,29017,28358
372,23323,24391,23372,25739,24691,25998,24242,26946,27654,25717,27080,26736
373,22368,22604,24333,24402,25136,26179,24361,25101,25447,25668,26457,27137
374,22537,23231,25085,27049,25678,27047,24173,25346,24855,26492,26275,27312
375,21902,23480,23625,24982,26699,26231,24206,23540,25515,27085,27117,27182
376,22235,23170,22960,24548,24672,27765,25074,24479,26117,25978,27621,28149
377,22635,23553,23409,24690,25436,26259,23561,24719,26757,25874,26364,28775
378,22237,24755,23871,24713,24772,25212,23990,25358,25493,27774,26732,28028
379,21916,23281,24177,24824,26380,26190,23646,24239,25396,26392,26955,26897
380,23837,23023,24352,25940,24521,27296,23376,24039,26300,26131,27149,27420
381,22956,23023,23482,25133,25929,26659,24325,23895,25563,26108,27239,28471
382,23925,22845,23003,25515,25846,25761,24740,24569,25474,28480,27609,26806
383,22823,24456,23521,24854,26948,25385,23622,24937,25641,26434,26603,27935
384,22744,23153,26163,24924,24719,26884,23035,24709,25370,25832,26383,27896
385,22104,23113,24307,24497,25182,26443,23276,25082,25645,26173,28706,26889
386,21511,23996,23970,24515,26017,26478,25425,24396,25213,26507,26430,27998
387,23146,23866,23668,24975,25675,26309,24281,24856,27738,27200,26465,27129
388,24514,23159,24779,25401,25438,26149,24114,24460,26129,25574,27035,26945
389,23117,23667,24353,26711,26428,27582,23636,24595,25612,26155,27632,26339
390,23024,22848,25431,25609,26153,25941,23944,26079,25699,26292,27054,29557
391,23415,22895,24191,25451,26446,30313,26090,24656,26951,26895,26853,27752
392,23585,21904,23805,25278,25245,27021,26573,26073,25788,26165,28218,26915
393,24327,23667,23872,25083,26026,27912,24586,25320,25647,26589,26704,28931
394,22101,24653,26068,25973,25655,25616,23415,25199,25879,26204,28206,27886
395,22294,24000,24390,25935,25220,26178,23974,24832,26302,26454,27538,29827
396,22522,23585,23932,24658,24994,26283,25480,25402,26942,25582,26351,28264
397,23124,23408,23604,24699,25238,26511,25966,25142,26397,31903,27179,27682
398,23399,23185,23560,24920,26374,26803,24167,25103,25789,26855,26981,26633
399,25011,22848,23906,25820,25169,28167,23662,25723,26285,26703,26913,29427
400,23695,22642,25831,25719,25364,26870,23621,25170,25669,26214,27144,29306
401,23050,25973,26025,28585,27498,28949,26268,27820,26816,30774,27800,30755
402,22180,23903,23538,26219,27133,26563,26275,25288,27184,27253,26524,28740
403,22460,23924,25967,25427,24806,27439,24468,25337,26362,26174,29116,28416
404,24751,24903,25974,26817,25700,27008,23445,25676,25192,26188,26565,29067
405,23279,23776,24123,24259,26025,25832,24050,25731,25820,26456,27053,27912
406,23471,23246,24201,25267,25205,26685,25687,25369,26698,27684,27343,27717
407,23465,22807,22952,25337,25236,26243,24609,25109,25774,26729,27230,28789
408,23157,22777,23180,25622,27069,27132,24177,24577,25276,26707,27259,29767
409,22776,24117,23468,25140,26871,26210,23689,25007,25927,26579,27496,27404
410,22491,26065,25249,25312,25649,26606,24221,25449,28308,27171,26507,27845
411,23534,23631,23976,24813,24914,26931,24823,24954,25232,26520,26671,27853
412,23698,24048,23845,24591,26045,28063,26886,24664,26056,27190,28514,28171
413,23149,23132,24232,25498,25287,26012,24656,25119,26284,26317,27534,28405
414,23377,23285,27436,28198,25148,25831,23902,25662,26377,26048,27158,29816
415,24215,24137,26091,26966,25365,26236,26068,25995,27288,26852,27489,27665
416,22739,23653,24169,25595,25027,26503,25443,24947,26638,27874,27147,27040
417,22575,23956,24767,26253,26838,26325,25514,25134,26047,26306,27408,29757
418,22296,23977,25403,26677,25613,28707,24379,25082,25913,27220,27119,27354
419,23048,25184,25506,25275,25925,27360,24035,26303,26855,26854,27292,31314
420,23771,24145,24962,27988,26370,26583,24032,26329,25799,27853,27177,29041
421,22715,23558,26079,27315,28637,26396,25337,25249,27430,26106,29042,27581
422,22836,22137,24048,26918,26390,28558,27011,25180,25703,26777,26811,28485
423,22765,23314,25234,25619,26537,27315,24596,25972,26130,27684,27045,27992
424,23027,22790,26310,27711,26194,26018,24410,26132,26866,26443,27396,27497
425,23447,23029,23839,26207,25147,27441,25077,25879,25890,28616,28831,27675
426,22281,24419,24439,25256,25931,26733,27400,25805,25537,27230,27668,30593
427,22135,23660,24323,25455,27108,27502,26424,26845,26707,26863,27869,28094
428,22616,24199,24839,25934,26223,26661,24944,26679,26634,26401,26742,28065
429,22387,24064,24869,24994,25306,26884,25792,25581,26038,28097,26980,28270
430,22956,23470,24500,27542,26506,27553,25206,25371,26403,27040,28773,27058
431,25496,23245,39330,31486,26104,28273,24868,25227,26182,26213,27111,28608
432,23003,23392,38556,42041,25381,27485,25387,28133,26807,26602,27190,28055
433,23930,23563,23989,30621,25598,26797,25198,26343,25932,27186,28504,27229
434,22833,25662,24634,26300,26292,26849,25534,25283,27709,27844,27463,28963
435,22488,24234,24334,25252,26451,26495,25390,26105,27095,26114,27716,30380
436,24445,25705,24902,25047,27142,27366,25724,26763,25930,26444,27338,27582
437,22967,23604,24575,25633,26439,28020,25593,26796,26393,27616,26999,28889
438,23638,23686,25063,26186,26579,27363,25737,25346,28136,26176,27047,27809
439,23103,23161,25336,26715,25453,26788,26084,25930,25872,26461,29448,27510
440,23258,23340,27153,25245,27918,28228,25211,25586,25809,27407,26239,29381
441,22744,23864,24889,26974,26781,26654,25575,26466,26102,27192,27571,28274
442,22894,26274,25211,26299,26282,26738,25981,26990,27112,26644,27164,28047
443,23096,24840,25284,27336,25681,27338,25328,25666,27609,26688,28427,28443
444,24281,24617,25793,25213,25613,27615,24686,25709,26465,28097,27755,28813
445,23444,23265,24835,25646,26359,26458,25693,26339,26385,26718,27867,26852
446,23928,23361,24656,25786,26105,28657,25716,27508,26282,26746,27487,29956
447,23435,25659,25740,34622,25916,27362,25611,24958,26073,27288,27643,28070
448,22735,24060,26276,26385,26791,27337,24980,25272,27383,30097,29092,27988
449,22714,24325,24807,27232,28049,26364,25347,26955,26892,26755,27657,28600
450,24640,26497,24583,26112,25588,28517,25213,26056,27041,30146,27533,28140
451,23988,24503,25293,26539,25794,27535,27611,25187,27165,30132,27333,28184
452,25552,24222,26744,26175,26237,26408,25325,26422,27219,26582,28371,28576
453,23468,24122,24881,25952,25676,26836,24310,26456,25882,28318,28010,29467
454,23199,24332,24142,27005,26760,27051,25505,26295,28471,29321,26953,27369
455,22315,24033,25016,26409,27311,28292,26748,25904,27252,26792,28271,28286
456,22584,24450,25545,25782,26436,29051,26207,26517,26348,27332,28268,27795
457,24599,25868,25783,25574,25918,27580,26595,28085,26878,28967,28234,29046
458,23675,23545,24777,27947,26986,27017,25550,26109,27275,26432,27167,28563
459,23755,23399,25270,26754,26369,28330,25835,25184,25993,26267,27923,28815
460,22923,23462,26164,26851,25769,27777,25607,26106,26319,27237,26570,28081
461,22702,24065,25199,26474,27114,27387,25157,27855,26883,27130,29329,28980
462,22442,24895,24954,28045,27281,26753,25714,26753,26768,28175,27158,28000
463,23017,26334,24960,27072,26483,26794,25625,24992,26085,27577,26742,28440
464,23497,24112,25589,25387,28694,27494,25391,25868,26508,27321,27514,28503
465,23555,23459,25218,25711,27772,27107,25746,27458,27262,26681,27784,27375
466,23898,22974,24265,26127,26067,27876,25623,26388,26569,28423,27712,30806
467,24709,22823,27006,27654,25905,27232,26344,25629,27004,27421,27830,28144
468,22715,25395,25813,26310,27390,29233,26116,26044,26920,26790,27339,28797
469,23089,24084,25465,25279,26700,26861,25438,26427,26382,27566,26541,28164
470,22673,24164,24962,27037,26002,26794,26582,26061,26382,27930,28720,28134
471,23815,23978,26755,26670,26360,27053,26159,26606,27454,27754,27617,28471
472,23700,23681,25405,27023,26763,26689,25731,26636,26819,27110,27396,28089
473,25043,23566,25558,26810,27047,27233,25035,26418,26385,26901,27895,29542
474,23250,23354,24341,26696,34000,28058,26373,26548,27020,27697,27118,27980
475,23229,24129,25641,26703,27456,29191,26885,26592,28262,27024,27439,29292
476,22554,24133,25859,25961,26190,28097,25504,26611,27106,27547,27402,27639
477,22166,24496,25813,27284,26987,29680,26262,26543,26373,28274,26804,27573
478,24337,25241,24627,26805,26834,27269,25737,26213,27101,26670,27084,28619
479,23621,23906,24835,26549,26113,27292,25930,25642,26570,27239,29137,29934
480,23961,23602,26441,27176,27010,27601,26210,27979,27992,27574,26801,28291
481,23877,23478,26022,27690,26813,27486,27383,27679,27138,27489,27626,28503
482,23967,24245,24842,26840,27811,27970,26147,26107,27158,26873,27290,27710
483,23370,24617,25940,27335,26585,28744,26099,26191,26673,27506,26889,27625
484,23084,26556,25541,25995,28686,29229,26296,27762,27963,27065,27866,29871
485,23963,24578,25280,26230,25929,27656,25603,26788,26935,27221,28102,27622
486,25237,25583,25846,26602,27777,28939,26185,26100,25906,27620,29200,32121
487,24316,24511,26398,28516,27611,27804,26194,26273,26738,27792,27295,27698
488,24987,24218,25812,25786,26422,27829,25879,26525,27012,27280,28883,27856
489,22837,26132,25804,26210,26828,28348,28142,29564,27664,27049,27079,28344
490,23677,25281,26681,27373,27728,27977,26048,27065,35980,42189,28011,28531
491,23840,23915,25405,27355,27753,27692,25385,26971,26507,28124,27184,27758
492,24156,23952,25744,25826,27304,29011,25679,26654,27227,27812,27392,29498
493,24677,23144,24913,27126,27649,27875,27356,26306,28018,27794,27267,28817
494,23847,25909,25110,26915,26268,27791,26343,27065,26553,27575,26953,26652
495,22913,24480,26545,27004,27571,29289,25597,26777,26508,28189,26274,27613
496,23537,25124,27179,27564,27533,28558,26277,26923,26857,26951,27052,27782
497,23807,24168,25168,27294,26380,27125,26383,25633,26400,27623,29093,27679
498,23627,23501,25326,27112,27262,28423,25480,26329,28629,28175,26227,28443
499,23938,26002,28817,27518,27338,27938,26814,28556,28126,27502,27547,29653
500,23605,23947,25543,29581,28076,27712,26584,26751,26634,27485,27200,27746
501,23626,26226,27380,30512,28342,31522,27405,29130,28962,30535,27703,30073
502,23325,24649,26256,26611,28223,27449,25992,27452,28515,28356,27943,29509
503,23568,24383,26288,26347,26257,28018,26848,27938,27094,27466,28417,27608
504,25682,24277,26123,27029,27468,29484,25884,25912,26762,27528,27252,28925
505,23926,23976,27431,26962,27426,27408,25819,26637,27164,27357,28027,29500
506,23581,24125,26086,28263,26266,27458,26309,27457,26768,27943,27925,29168
507,22854,25444,26429,27406,27029,28901,25985,26448,28466,29262,26756,28575
508,22909,24990,25653,27430,27896,27979,28721,26586,27361,27903,27846,27982
509,25103,25941,27640,26485,27713,28041,25912,27159,27206,27826,27010,28686
510,24119,23811,25421,26625,27428,28967,25949,26851,27396,27851,29825,28749
511,24244,23710,25140,26972,27490,28584,26321,25941,29036,27250,28184,29580
512,23400,24558,25982,26991,26141,29103,27527,26331,26758,28020,26874,29299
513,23311,24639,25888,27327,26908,29106,25698,27381,26894,28906,27076,27729
514,24247,24601,25749,26924,27179,27018,28404,30051,27473,27088,27942,27363
515,24159,25922,25723,28524,26785,27068,26141,27267,26698,28270,27220,30158
516,23847,24439,26413,27356,26303,27775,25650,26935,28666,28225,27040,28028
517,23874,23861,26241,26751,27531,27120,28081,26625,27187,27167,27957,27499
518,24451,23805,26783,26929,27706,26700,26274,26826,26526,27737,29027,29112
519,25173,24691,26352,29060,27186,29091,25921,26571,27326,28493,28254,29045
520,22987,25466,26361,26852,27561,28219,26170,27200,29298,27511,26710,27915
521,23569,24975,25394,27083,26943,27759,27144,26651,26729,27568,27327,28157
522,23732,24379,25749,27235,28536,28801,26864,27073,26419,28070,27586,28027
523,24247,23745,27554,26853,27513,27607,25879,26656,27332,27184,27683,27672
524,23746,24386,26615,28595,27530,27532,27170,27786,26754,27901,27372,29389
525,23611,26600,25241,27852,26743,27940,26770,26625,28877,28142,27513,29048
526,23136,25195,26349,30344,27609,28211,26123,26638,27787,27428,27142,28059
527,23980,25118,26506,26843,28309,28208,27331,29544,27001,26854,27288,28086
528,23885,23969,26077,29076,26938,29805,27266,26795,27315,27838,29186,28648
529,24748,23686,27202,29819,27914,28518,25917,26714,28869,27418,27331,29862
530,38155,36534,25770,26642,27279,28010,25940,27093,26946,27833,27620,28922
531,37537,40624,25765,26847,28377,28958,27169,28199,26943,28586,28367,29127
532,35452,50220,26143,27620,28251,27822,26334,26448,27557,27395,28226,28316
533,27457,27379,27578,26404,27234,28018,26006,27691,27210,27282,27704,30304
534,25967,26398,25611,26944,27512,28708,26326,27975,29904,27992,27707,27728
535,23675,26789,24742,26789,27618,27714,26701,26836,27832,28258,27339,29126
536,24281,25922,25348,27181,28554,28169,26931,28333,27247,27511,28119,28539
537,24757,24786,27723,25782,27007,29654,26414,28286,28263,27746,29170,28403
538,25469,26477,26124,26365,28017,27839,26436,26446,29555,28370,27518,30474
539,24130,25110,25207,27485,26728,28239,26642,26351,27255,28932,27900,29422
540,23938,25435,25340,27025,28219,30126,26730,28101,30080,28572,27263,29058
541,24915,25416,25506,26056,27752,28894,25734,27647,27725,28325,28888,28939
542,25108,25003,25584,26699,27019,28149,26296,26448,26937,28294,28136,28399
543,26308,25947,25630,28283,27129,28587,26321,26887,30535,29504,27546,28615
544,24097,25564,25572,26566,27522,27719,25736,26961,27763,28443,27560,28522
545,24636,26013,26409,25968,28589,28487,27876,27198,26957,28182,27698,29249
546,24720,25899,25324,27226,27558,29581,26286,27605,27921,28169,28512,29264
547,26156,25024,25499,28536,27534,28833,25583,27348,28878,28120,28185,28416
548,24301,27113,26342,27151,26844,28868,26034,27373,27538,28641,28018,27793
549,23810,25947,26543,25901,27634,29947,27648,26649,27544,27849,27514,28766
550,25737,25694,25819,27128,27538,28136,26916,28952,27337,27631,29133,28385
551,26325,27702,26343,27496,27855,29035,26637,28802,26933,28131,27075,30084
552,25793,24322,28065,27394,27923,28573,31555,26869,28533,29464,27973,28698
553,24955,28154,26156,27204,27657,28320,25933,31517,47124,40755,28074,27637
554,24623,26193,25882,27583,29335,28552,29099,28307,47062,49798,26721,27933
555,24941,25324,26150,27706,28009,28083,27171,27181,32350,74961,28691,29726
556,25083,24622,27717,27366,26933,28218,25479,27122,27989,27868,27806,27413
557,26091,25596,26545,27558,27850,28858,26147,27894,27702,27673,26853,28233
558,23157,26740,26803,27647,28405,30080,28218,27090,26833,27648,27398,29847
559,24234,26332,26896,27227,26930,28795,25960,28156,27145,29764,29295,27839
560,24631,25792,25905,27266,27466,28693,26572,27169,27425,27772,26104,28563
561,24773,24590,27976,28402,27347,27800,27794,26760,27249,27930,27498,29031
562,24479,25155,27344,28359,27707,28559,26385,27483,28077,27523,27244,27834
563,24845,27609,25827,27756,29019,30146,26008,27219,27376,29137,27088,28261
564,25112,26281,26798,27677,27886,27972,27471,29561,28063,27353,28231,30938
565,26297,25743,28612,27356,27274,29512,27103,27160,27027,27438,27799,27704
566,25519,24982,26256,26956,28785,28417,25983,27697,27030,27935,27180,28395
567,27203,25988,26012,27834,27361,29323,26987,27743,27893,27905,27708,28010
568,24768,26120,26475,27415,27672,28860,26996,28778,28105,30026,28023,29405
569,24592,24957,26780,26734,27316,28269,26379,27141,27815,28787,27297,28379
570,24969,25132,26529,27835,27359,29037,26801,27210,27619,28161,27587,28105
571,24217,26515,26627,29371,27930,29441,26538,26996,28138,28624,27337,29906
572,25340,26182,26796,27391,28237,29873,26808,27074,28222,30720,27008,28509
573,25554,27076,26178,27528,30749,29067,27107,29648,29189,27920,28368,29673
574,25376,25315,28424,28128,27761,28931,27053,27479,26857,28629,27636,27934
575,24461,25314,26746,27109,29429,27846,26573,26933,28212,28733,27613,28914
576,24000,26645,26313,28004,28125,29540,26252,27248,28871,27794,28155,27253
577,26305,27853,26089,27863,28005,28163,27076,28565,27902,29821,27510,31251
578,25983,25208,26369,27993,27388,28843,26817,26693,28359,28040,27885,28084
579,25257,25120,26509,27152,27547,29043,25884,27814,26622,27347,28096,28347
580,24455,26375,26710,29332,28257,28211,26257,28280,26562,27874,26944,27835
581,24970,26546,26757,27678,29575,30190,30183,27331,27301,28519,28505,28568
582,26905,25497,27238,26597,29319,30869,27811,29181,27645,28002,27773,29172
583,25399,25818,27356,27906,28074,28961,27344,28009,27038,27654,26934,28839
584,25040,26037,26716,28976,28705,30355,27206,26684,27993,27461,27926,29202
585,24741,26764,26295,27725,28190,28535,26102,27186,28592,27389,28201,27366
586,25173,26295,26131,27393,27276,28571,27883,28385,27064,29151,27619,30095
587,26183,27852,26160,27805,28512,28341,27359,26771,27647,27879,27580,27954
588,24921,25917,27582,26925,28094,28245,26332,27188,28162,26945,27239,27636
589,24591,25914,27300,28978,30137,28912,28375,28512,27418,29092,26943,28129
590,25376,25850,26645,28476,28351,29072,27114,28301,27445,29015,28661,28834
591,25428,25321,27582,29320,27650,29938,28129,27717,26992,27434,27054,28640
592,25776,27354,27023,31353,27798,28891,27015,28191,26972,27913,27201,28944
593,24078,26434,26679,29305,29238,30134,27656,27217,27857,28520,28212,28231
594,25066,27378,27401,27873,26787,28964,27439,27030,28811,27666,27006,28259
595,25788,25509,26351,28172,28546,29175,28165,28365,27635,29337,27940,30137
596,26761,25784,26638,27948,28211,28437,26864,27140,28991,27618,28051,27924
597,24481,26758,26948,27274,28155,29235,26899,26862,27494,29168,26813,29576
598,24987,26526,27084,29716,29224,29777,26809,28719,30377,28340,27480,28447
599,25515,25558,26852,27721,28008,28786,27178,27520,28604,30552,29060,27519
600,25616,25475,26864,27291,29631,28925,31032,27389,26793,28620,27139,28664
601,26310,28528,27914,30960,30714,31682,28057,31016,29191,32149,29182,31222
602,26102,27992,27149,29755,28325,30309,27416,27712,27282,28567,27454,28338
603,25309,25287,27271,27418,28309,28805,26804,27144,29917,28261,28898,28722
604,25011,26354,26487,28249,27759,29082,28649,28838,27431,27809,27610,29970
605,24480,26020,27390,28175,27723,29040,27725,27307,26989,28105,27722,28211
606,26705,28399,29110,27484,29305,28226,26867,27558,27455,28249,28217,28561
607,26218,25386,26681,30584,27236,30857,27018,27995,29312,27612,27995,27514
608,25651,24732,27003,28237,28433,29260,27194,26908,27086,28254,29293,27874
609,24536,26343,26590,26925,27970,28698,29223,27385,27219,28423,28521,36114
610,25064,26638,26738,27775,29250,31301,26980,27856,27302,27680,27503,29195
611,27758,26003,26409,30253,28307,28921,27118,27405,26956,28207,27092,28458
612,25955,26392,27550,27539,27645,29306,27134,26718,29632,28177,30099,27898
613,26622,27599,26566,27782,28474,29769,29608,28014,27955,27991,26915,28473
614,25327,27209,26290,28519,29284,28599,27495,28977,27315,29085,27492,29037
615,26265,25570,27311,28051,30334,29370,27549,27082,27935,28203,27423,27415
616,25026,27907,27767,29075,29008,28915,26921,30731,29827,27854,27141,27805
617,24487,26677,26889,28436,27839,29719,28097,28014,27463,28368,28469,31797
618,25373,26441,27119,27902,29211,30093,28056,27873,27928,28526,31089,27691
619,26045,26264,26666,27825,28091,31308,27048,28057,28020,27436,27408,28546
620,25915,25998,26724,30048,27981,29589,27204,27186,27230,28540,27906,27712
621,25098,28184,27161,27972,28413,28583,26729,27332,29162,28939,28240,28068
622,25091,26930,26539,27787,27309,29488,28139,28566,27377,27757,27163,28707
623,26242,26807,26758,27707,28028,29608,27656,28625,27122,28503,28013,29405
624,25190,25911,27173,28122,28826,30873,26835,27351,28288,28044,27386,28072
625,27605,26254,28088,28578,27770,30189,27155,27877,29104,29205,27060,28674
626,25939,26397,26345,28359,28161,29091,27294,27752,28198,29038,28116,29148
627,25582,25490,27760,28055,29441,28633,28848,27944,29704,29958,27429,28254
628,25051,26583,26533,27592,28140,30021,28692,29244,27191,27918,27793,28496
629,24776,26281,26705,29781,29130,28373,27825,27555,27355,28535,27978,28142
630,26678,26166,27087,28225,27791,29055,27131,27416,28700,29082,27695,30375
631,26045,26508,27104,28411,28429,29141,28050,28120,26860,28250,28039,29078
632,24834,25237,26358,28236,29092,28894,27253,27407,27377,28881,27862,27325
633,24552,26576,27460,28635,28263,30504,26735,27577,27690,28080,26894,28278
634,25547,26872,28075,28968,29146,30093,26608,28377,27896,30215,28129,28878
635,26304,28228,26786,28192,27921,29614,27550,27292,28170,28524,28226,29748
636,25122,26429,26871,28046,29265,30391,28549,27122,27634,27942,28029,29946
637,24944,26119,27399,29447,27952,29284,29951,29664,27386,28150,27917,28412
638,25297,26446,27437,30373,28146,30151,27502,27929,28366,28121,27801,28306
639,26588,26635,26960,28178,28678,28734,26919,27304,27428,29988,27492,30046
640,26479,26725,27153,27763,27538,29164,28887,28593,28540,28289,28792,27768
641,24559,27254,26709,27919,29987,29935,27748,27820,27852,28864,27384,28313
642,26219,27354,27271,28136,28440,28972,27249,27374,27128,28145,27438,28845
643,26443,25346,28378,28849,28524,29309,27567,28588,27803,30374,29590,29109
644,27248,26263,27028,29648,29132,28941,28612,28667,28060,27913,27046,29228
645,25218,27376,26913,27991,28617,30716,28812,29983,27476,29134,27407,28952
646,25731,27259,27456,28411,28533,29275,28298,32655,27855,28816,27672,28285
647,29105,26202,28027,30316,28312,28688,27664,27714,28329,27442,26649,28295
648,24899,28561,28645,28950,27953,29833,28100,30975,27559,29717,28026,30844
649,26484,27195,26325,29018,28950,29457,27972,29389,28437,28494,28035,30069
650,25754,26419,27714,28459,27940,31444,27414,27608,28193,27734,27554,28245
651,25371,25594,27581,27902,29124,31551,28513,28033,27862,28554,27865,27848
652,24490,26389,27586,29048,28071,29854,43696,39789,28070,29888,29909,27957
653,25579,27195,27641,28839,29963,29587,44346,46478,27524,28528,28019,29007
654,26682,28039,27187,27915,28515,28912,43853,46052,27485,28492,28182,28048
655,26026,26034,27116,28682,28024,29916,36658,45839,28688,28361,27693,28463
656,25232,26648,27735,30347,29218,30325,28524,31125,28921,28171,30598,31104
657,25850,26275,27285,33907,28660,28965,27771,29282,27713,29539,27459,28592
658,26176,26461,26959,28987,30604,30140,28334,27808,27941,27988,27198,28619
659,26041,26458,28285,28204,31187,28735,27770,28883,27368,27745,28579,28423
660,24832,26881,26851,28342,28253,30426,29561,30261,28811,28646,27466,27886
661,25923,26649,27242,30679,29078,29822,28860,29676,27911,29410,28407,29247
662,26085,25854,27435,27674,28186,30993,29803,32141,27595,29383,28833,29268
663,27272,26441,28476,31288,28572,29716,28745,27909,27901,28732,27203,27433
664,25168,27416,28614,28696,28659,28955,28187,30601,27615,28412,27372,28926
665,25342,26773,28159,28021,28720,30040,27600,27619,29564,28565,45795,28493
666,26064,25803,27209,28588,28715,30167,28062,27141,28239,28363,45508,48518
